"Actor/Actress","Female RC-PM","Male RC-PM","Overall"
"Alec Baldwin",0.047,0.066,0.056
"Amanda Bynes",-0.03,-0.017,-0.023
"Anna Faris",-0.038,-0.045,-0.042
"Ashton Kutcher",-0.157,-0.133,-0.145
"Ben Stiller",-0.099,-0.069,-0.084
"Bradley Cooper",0.039,0.06,0.05
"Brittany Murphy",-0.081,-0.086,-0.084
"Cameron Diaz",0,0.065,0.032
"Candice Bergen",-0.071,-0.213,-0.142
"Catherine Zeta-Jones",0.025,0.072,0.049
"Chris Pratt",-0.018,0.027,0.005
"Colin Firth",-0.001,-0.069,-0.035
"Dennis Quaid",-0.011,-0.016,-0.014
"Drew Barrymore",0.066,0.055,0.061
"Emma Stone",-0.01,-0.023,-0.016
"Fred Willard",-0.26,-0.292,-0.276
"Freddie Prinze Jr.",-0.071,-0.08,-0.075
"Gerard Butler",-0.008,-0.026,-0.017
"Heather Burns",0,-0.067,-0.033
"Hugh Grant",-0.043,-0.034,-0.039
"Isla Fisher",-0.092,-0.067,-0.079
"Jason Bateman",-0.075,-0.103,-0.089
"Jason Biggs",-0.028,0.034,0.003
"Jennifer Aniston",-0.154,-0.131,-0.143
"Jennifer Garner",-0.043,-0.026,-0.035
"Jennifer Lopez",-0.137,-0.215,-0.176
"Jessica Biel",-0.077,-0.012,-0.044
"Judy Greer",-0.085,-0.06,-0.072
"Julia Stiles",0.033,0.071,0.052
"Kate Hudson",-0.06,-0.087,-0.074
"Katherine Heigl",-0.008,-0.019,-0.013
"Kathy Bates",-0.065,-0.002,-0.034
"Kirsten Dunst",0.004,0.036,0.02
"Kristen Bell",0.059,0.057,0.058
"Lake Bell",-0.044,-0.08,-0.062
"Mark Ruffalo",0.041,0.056,0.049
"Matthew McConaughey",-0.09,-0.075,-0.083
"Meg Ryan",0.008,-0.011,-0.001
"Meryl Streep",0.055,0.007,0.031
"Owen Wilson",0.025,0.029,0.027
"Paul Rudd",-0.056,-0.004,-0.03
"Rachel McAdams",0.059,0.09,0.075
"Reese Witherspoon",0.064,0.082,0.073
"Rob Corddry",-0.02,-0.021,-0.02
"Robert De Niro",0.034,0.001,0.017
"Sandra Bullock",0.03,-0.038,-0.004
"Sarah Jessica Parker",-0.127,-0.178,-0.153
"Selma Blair",-0.025,-0.026,-0.025
"Topher Grace",-0.046,0.028,-0.009
