ActorAppear,ActorIndicator,Coef,Variable
1,1,-0.0269827341554,Aaron Eckhart
1,1,0.00515274534867,Aaron Paul
1,1,-0.0645673520777,Aaron Trainor
2,1,0.0230762167491,Aasif Mandvi
1,1,0.0550516634116,Abdul Alshawish
1,1,-0.0702578389562,Abe Vigoda
1,1,0.0106969799812,Abella Wyss
2,1,-0.0210052573554,Abigail Breslin
1,1,0.0209354909123,Abigail Spencer
1,1,0.0140734974233,Adam Arkin
2,1,-0.275404948722,Adam Campbell
1,1,0.0168784196143,Adam Goldberg
1,1,0.0305988009463,Adam Hendershott
1,1,0.0316624391178,Adam Rodriguez
1,1,-0.0629200681675,Adam Rose
3,1,0.08035763986,Adam Sandler
1,1,0.0214507156878,Adam Scott
1,1,-0.0645673520777,Adam Trese
1,1,-0.0360763451693,Addison Timlin
2,1,-0.025155162748,Adrian Grenier
1,1,0.00212313590727,Adriana Biasi
1,1,0.0425980586185,Adrienne Shelly
1,1,0.0462486361066,Aida Linares
1,1,0.10384477428,Aidan Quinn
1,1,0.0380185755956,Aimee Garcia
1,1,0.0227250602098,Alan Aisenberg
2,1,-0.0295465507649,Alan Alda
1,1,0.0214507156878,Alan Devlin
2,1,-0.0440352132677,Alanna Ubach
1,1,-0.00886212085089,Alberta Watson
4,1,0.0877649115904,Alec Baldwin
1,1,0.00613600082612,Alex D. Linz
1,1,-0.0291152965929,Alex Hyde-White
1,1,0.00169181767887,Alex Macqueen
1,1,-0.0241187161676,Alex O'Loughlin
1,1,-0.0392627318643,Alex Rocco
1,1,0.00381622162612,Alexa Kenin
1,1,0.0376468346431,Alexander Martin
1,1,-0.0249098444315,Alexandra Breckenridge
1,1,0.0653618441578,Alexandra Wentworth
1,1,-0.00141868609868,Alexis Arquette
1,1,0.0233263441499,Alexis Clagett
2,1,-0.00821435551672,Alexis Dziena
1,1,0.0503005992549,Alexis Knapp
1,1,-0.040865820749,Ali Hillis
2,1,-0.0189122990692,Ali Larter
1,1,-0.0267806751092,Alia Rhiana Eckerman
1,1,-0.00184500176497,Alice Eve
1,1,-0.00971193080111,Alicia Keys
1,1,0.0462486361066,Alicia Silverstone
1,1,0.00691803463533,Alicia Witt
1,1,-0.00485739163782,Alison Brie
1,1,0.0383884716344,Allan Houston
2,1,0.017019845208,Allen Covert
1,1,0.0412503745132,Allison Janney
1,1,-0.0069614417239,Ally Walker
1,1,0.0187698623979,Aly Michalka
3,1,-0.260233984268,Alyson Hannigan
5,1,-0.0249214367094,Amanda Bynes
1,1,-0.0249098444315,Amanda Crew
2,1,-0.0246824023894,Amanda Detmer
