ActorAppear,ActorIndicator,Coef,Variable
1,1,-0.0128869784043,Aaron Eckhart
1,1,0.0121556203334,Aaron Paul
1,1,-0.0521402423744,Aaron Trainor
2,1,0.0280159716436,Aasif Mandvi
1,1,0.0485591539921,Abdul Alshawish
1,1,-0.0806770187251,Abe Vigoda
1,1,0.0180952659221,Abella Wyss
2,1,-0.00026251917984,Abigail Breslin
1,1,0.0103105561398,Abigail Spencer
1,1,0.0275488193741,Adam Arkin
2,1,-0.274041562944,Adam Campbell
1,1,-0.00730945562133,Adam Goldberg
1,1,0.0330206234984,Adam Hendershott
1,1,0.0417387856694,Adam Rodriguez
1,1,-0.0697007302819,Adam Rose
3,1,0.0436507568436,Adam Sandler
1,1,0.0165201517366,Adam Scott
1,1,-0.0521402423744,Adam Trese
1,1,-0.0255998618733,Addison Timlin
2,1,-0.0106818605956,Adrian Grenier
1,1,0.0217092876534,Adriana Biasi
1,1,0.0520945724721,Adrienne Shelly
1,1,0.012698087987,Aida Linares
1,1,0.093452103704,Aidan Quinn
1,1,0.047813532514,Aimee Garcia
1,1,0.0365306895131,Alan Aisenberg
2,1,-0.0256233770188,Alan Alda
1,1,0.0165201517366,Alan Devlin
2,1,-0.0699502507272,Alanna Ubach
1,1,0.005458894814,Alberta Watson
4,1,0.0660184589102,Alec Baldwin
1,1,0.00647871179265,Alex D. Linz
1,1,-0.0327764714097,Alex Hyde-White
1,1,0.0145185538924,Alex Macqueen
1,1,-0.0406001938803,Alex O'Loughlin
1,1,-0.0524188297599,Alex Rocco
1,1,-0.00852453180397,Alexa Kenin
1,1,0.0406992996492,Alexander Martin
1,1,-0.0403973668822,Alexandra Breckenridge
1,1,0.00680783627826,Alexandra Wentworth
1,1,-0.00291491725057,Alexis Arquette
1,1,0.0145759162848,Alexis Clagett
2,1,-0.0203323772959,Alexis Dziena
1,1,0.0457947015878,Alexis Knapp
1,1,-0.0413175479933,Ali Hillis
2,1,-0.0185164098207,Ali Larter
1,1,-0.0228355564874,Alia Rhiana Eckerman
1,1,0.00662602136368,Alice Eve
1,1,-0.00172598878065,Alicia Keys
1,1,0.012698087987,Alicia Silverstone
1,1,0.00573770455594,Alicia Witt
1,1,0.00452017990683,Alison Brie
1,1,0.0436936130405,Allan Houston
2,1,0.0211739955774,Allen Covert
1,1,0.0419144650819,Allison Janney
1,1,-0.00883208340067,Ally Walker
1,1,0.0164490133489,Aly Michalka
3,1,-0.2603874914,Alyson Hannigan
5,1,-0.0171529654268,Amanda Bynes
1,1,-0.0403973668822,Amanda Crew
2,1,-0.0218822859521,Amanda Detmer
1,1,-0.0257073127359,Amanda Fairbank-Hynes
2,1,0.0749536618582,Amanda Peet
2,1,-0.00142634977425,Amanda Seyfried
1,1,0.0275488193741,Amber Valletta
1,1,-9.41541401215e-05,Ameet Chana
1,1,-0.00694401008564,America Ferrera
1,1,-0.071547625649,Amerie
2,1,0.0295073941691,Amy Adams
1,1,0.0415856785183,Amy Brooks
1,1,0.024088912828,Amy Hill
1,1,0.0155674773307,Amy Matysio
1,1,-0.0857639409109,Amy Sedaris
2,1,0.027732734037,Amy Smart
1,1,-0.0327764714097,Amy Yasbeck
1,1,0.0542025098407,An Nguyen
2,1,0.0508881135503,Analeigh Tipton
